"","census_tract","corr"
"7177","B19131_017",0.436482978876337
"1624","B07009_030",0.43561631378051
"7803","B23001_028",0.435343436231137
"6129","B17014_023",0.435102765380219
"6589","B17024_079",0.435074281118533
"16053","B28002_005",0.434870883804428
"1711","B07012_012",0.43433029965444
"7999","B23006_023",0.433761410088846
"7456","B20003_002",0.431630721904217
"8749","B24090_003",0.431092862767672
"5004","B13014_027",0.430969637343533
"5328","B15002_002",0.430663403275827
"8788","B24092_014",0.429950143404746
"515","B04006_016",0.429880751177536
"4224","B09018_003",0.429854584230714
"4256","B09019_028",0.429761335128471
"5831","B16010_043",0.42940241393205
"6997","B19037_033",0.4293936304157
"7753","B22007_028",0.428842931853002
"7194","B19131_034",0.428591630413366
"6216","B17016_030",0.42778819606483
"16349","B99212_003.x",0.427449574303147
"16430","B99212_003.y",0.427449574303147
"2141","B08006_019",0.426811085066166
"15750","B27002_016",0.426601257403399
"8308","B23027_014",0.426233057700183
"5922","B17006_020",0.426042190495826
"7810","B23001_035",0.42577628342089
"6667","B17026_013",0.425281065092252
"5958","B17007_028",0.425134913875851
"4497","B11005_018",0.42499995319521
"1090","B05010_020",0.424657367291135
"7807","B23001_032",0.424447986843124
"6982","B19037_018",0.424176250479058
"13501","B25124_014",0.423965756972524
"7752","B22007_027",0.423275574953083
"1391","B06010_055",0.423023309590107
"5162","B14004_016",0.423019690002608
"7814","B23001_039",0.422603305486136
"7816","B23001_041",0.422603305486136
"6093","B17013_021",0.420699570258648
"2275","B08012_017",0.420630097175705
"4690","B12002_079",0.420622224368
"2895","B08132_024",0.420196070640748
"6826","B18105_014",0.41980489653503
"4167","B09001_002",0.419394411089778
"4205","B09008_007",0.419273637573003
"16149","B28008_005",0.419006535096838
"7809","B23001_034",0.418898181779535
"16131","B28007_006",0.418671954516106
"6721","B18102_017",0.417496843766527
"6860","B18106_016",0.417065367701019
"7473","B20004_013",0.415275744933649
"6537","B17024_027",0.415085760934493
"12743","B25087_014",0.414931946413975
"8306","B23027_012",0.414921344721902
"5428","B15012_006",0.414716053052158
"8249","B23026_003",0.412590328107587
"2997","B08134_023",0.411870397934435
"7452","B20001_042",0.410923913255683
"2593","B08122_004",0.410577510183199
"6858","B18106_014",0.410351910602867
"16100","B28005_011",0.410268621557683
"7641","B21003_011",0.409992383820804
"6222","B17016_036",0.4098513517847
"8303","B23027_009",0.409659678836322
"7817","B23001_042",0.409209457311252
"5829","B16010_041",0.409004115509264
"16234","B99121_003",0.408719181696537
"13815","B25129_014",0.408409295486669
"1088","B05010_018",0.408041943845515
"13444","B25122_088",0.407814327080942
"16318","B99192_002.x",0.407578205798491
"16399","B99192_002.y",0.407578205798491
"8134","B23010_004",0.407133771893455
"16148","B28008_004",0.406708579507283
"6524","B17024_014",0.406696722102645
"2273","B08012_015",0.406432759196452
"6681","B18101_015",0.406383293970311
"6719","B18102_015",0.406383293970311
"6757","B18103_015",0.406383293970311
"15702","B27001_024",0.406383293970311
"15758","B27002_024",0.406383293970311
"15814","B27003_024",0.406383293970311
"7431","B20001_021",0.406287521196755
"1662","B07010_033",0.405993062291703
"12248","B25034_002",0.405849129745835
"15703","B27001_025",0.405762184937934
"15815","B27003_025",0.405464364644402
"6360","B17020_014",0.405405943884304
"4206","B09008_008",0.4051724227376
"2548","B08119_027",0.405039091232061
"6995","B19037_031",0.404421206178828
"12898","B25095_056",0.404390175294738
"1684","B07010_055",0.403905634383437
